# mode	case	category	lat1_deg	lon1_deg	azi1_deg	lat2_deg	lon2_deg	azi2_deg	s12	a12_deg	m12	M12	M21	S12
direct	direct-short	ordinary-short	48.2000000000000000000000000000000000000000	16.3700000000000000000000000000000000000000	73.0000000000000000000000000000000000000000	48.2596578779183092006461948650801880197151	16.6622991200919221363352688887259531293664	73.2180036200750948496164399307795047984495	25000.00000000000000000000000000000000000	0.2055475511314138176273432451604491240405	24999.94696853455295067696266826538518345	0.999993636182626435156520617242382851911414	0.999993636270952743976251088366767861240510	184091076261.3939736631480483198939427128
direct	direct-regional	ordinary-regional	40.0000000000000000000000000000000000000000	-75.0000000000000000000000000000000000000000	120.0000000000000000000000000000000000000000	30.4919925561182626291397416859052550381245	-58.5881648246931971304858038789247797068554	129.5480105793154304456223928195463313838869	2000000.00000000000000000000000000000000000	16.4800466378795394162893221213035562805462	1972720.36420616515254250889099636405108178	0.959234721064824897663475719935287286828416	0.959149504431770259496794801418062714454060	8039720059509.4610559415241428961381275610
direct	direct-intercontinental	intercontinental	-33.0000000000000000000000000000000000000000	18.0000000000000000000000000000000000000000	45.0000000000000000000000000000000000000000	42.5539539466147636505849224032236819161457	88.0739015836588023620857920134236675506003	53.4896792976227222371796644725277262778472	12000000.00000000000000000000000000000000000	99.0683632635047589149620407077821054052948	6856402.35423187551007244459365885548074021	-0.156662151544749465925597879414941225948598	-0.153589330852251573242696357345856612617243	7152541824191.7653555942691308171504759166
direct	direct-equator-east	equatorial	0.0000000000000000000000000000000000000000	10.0000000000000000000000000000000000000000	90.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	50.9255567950588006262843962957894073802896	90.0000000000000000000000000000000000000000	5000000.00000000000000000000000000000000000	41.3389462576351521477620164603933407881713	4577349.40773715342184573979270372193701835	0.750815330162735864849200862304146666562063	0.750815330162735864849200862304146666562063	0.0000000000000000000000000000
direct	direct-equator-negative	equatorial-negative-distance	0.0000000000000000000000000000000000000000	-170.0000000000000000000000000000000000000000	90.0000000000000000000000000000000000000000	-0.0000000000000000000000000000000000000000	-178.1851113590117601252568792591578814760579	90.0000000000000000000000000000000000000000	-1000000.00000000000000000000000000000000000	-8.2677892515270304295524032920786681576343	-996533.18941690464441205981108276010640971	0.989606787385661382421856492208619096417741	0.989606787385661382421856492208619096417741	0.0000000000000000000000000000
direct	direct-meridian-north	meridional	-60.0000000000000000000000000000000000000000	20.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	6.2780279294028738054255210769528739187704	20.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	8000000.00000000000000000000000000000000000	65.9657703049144439144856370077203202063719	6352808.08402570334199713020343896149680498	0.413211626532986900910184226067826533665173	0.406922957607568119176390681615765942560934	0.0000000000000000000000000000
direct	direct-meridian-south	meridional	70.0000000000000000000000000000000000000000	-30.0000000000000000000000000000000000000000	180.0000000000000000000000000000000000000000	28.9547708591653448258342437708636326588432	-30.0000000000000000000000000000000000000000	180.0000000000000000000000000000000000000000	5000000.00000000000000000000000000000000000	41.1027207928746988215396484464280695281706	4586723.03907398435690447145724079275785413	0.757305355437419010003786599682676849154461	0.755125289656837866798426271838572029267214	0.0000000000000000000000000000
direct	direct-near-north-pole	polar	89.9990000000000000000000000000000000000000	40.0000000000000000000000000000000000000000	123.0000000000000000000000000000000000000000	81.8945553592036552754619453810776484946307	96.9941099967012468656543627139041378244402	179.9940505835913681615547872414270502959145	1000000.00000000000000000000000000000000000	8.1856633841027413954926023473669811374123	996668.85046004475297054097314990212897874	0.990014293880233590630231116359730182456019	0.990011604255678817887635887184321212874698	48417337064261.9683283452663914444798885610
direct	direct-near-south-pole	polar	-89.9990000000000000000000000000000000000000	-80.0000000000000000000000000000000000000000	-57.0000000000000000000000000000000000000000	-81.8945553592036552754619453810776484946307	-136.9941099967012468656543627139041378244402	-0.0059494164086318384452127585729497040855	1000000.00000000000000000000000000000000000	8.1856633841027413954926023473669811374123	996668.85046004475297054097314990212897874	0.990014293880233590630231116359730182456019	0.990011604255678817887635887184321212874698	48417337064261.9683283452663914444798885610
direct	direct-dateline	dateline	10.0000000000000000000000000000000000000000	179.9000000000000000000000000000000000000000	95.0000000000000000000000000000000000000000	9.1713826259632921682744774804638327872608	-171.8420202530742262453324525532967345744442	96.3775409241601951164644287323573404403542	1000000.00000000000000000000000000000000000	8.2654985456451224094859202051870317294854	996537.02766282232205897337770669377937992	0.989618608532539808712811499935929848995260	0.989617953388478980071358031699342876906715	1155071897608.8121740405588383032377638344
direct	direct-very-short	very-short	47.0000000000000000000000000000000000000000	11.0000000000000000000000000000000000000000	33.0000000000000000000000000000000000000000	47.0000000068924629887338414164635198634290	11.0000000065016907071653924169868656571075	33.0000000047550355657350771206394541895535	0.00100000000000000000000000000000000	0.0000000082236700430269954381140517050318	0.00099999999999999999999660306374907	0.999999999999999999989809191247204442668516	0.999999999999999999989809191247220841409669	4014.1917425902530121527149298316
direct	direct-long	long-ordinary-profile	5.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	89.5000000000000000000000000000000000000000	-4.9127999048586986411990219708317927251223	171.8646591709564852508264074470854097129844	91.0485148271046148747109422082787294231745	21000000.00000000000000000000000000000000000	173.6171771749977931862750990668848677887959	770507.62994161360043762673148149619394350	-0.993752052259779594160825834359196914237356	-0.993825711147409233689969501493873809787629	1298084398605.7918030339490711255002925128
inverse	inverse-short	ordinary-short	48.2000000000000000000000000000000000000000	16.3700000000000000000000000000000000000000	60.1748610885822770495008308379153689335732	48.2500000000000000000000000000000000000000	16.5000000000000000000000000000000000000000	60.2718107950795450728976290838287066054835	12258.60682329642798295139250839380598836	0.1007891503145948063226426019072139028819	12258.60057101321958831453471093708456192	0.999998469894897957416502938462968830051183	0.999998469912697288863845113412227316821700	81868161169.8459827142745300461128883708
inverse	inverse-regional	ordinary-regional	48.2084900000000000000000000000000000000000	16.3720800000000000000000000000000000000000	-59.8663545812790929644944469854846247412925	40.7128000000000000000000000000000000000000	-74.0060000000000000000000000000000000000000	-130.4142213107358372303331074118232041071195	7502140.65629424309311264527396582798934954	61.6537246506252089789965537613240411157695	6152523.32302494127034888664702324731172090	0.480958366781624453240807339534258955916571	0.479989097379663395815590845266291081765584	-59619834701223.4421788189902494276819263522
inverse	inverse-intercontinental	intercontinental	-33.0000000000000000000000000000000000000000	18.0000000000000000000000000000000000000000	70.7425603101718413840506367879986246257248	35.0000000000000000000000000000000000000000	139.0000000000000000000000000000000000000000	75.0669461600278179582402322491960922908439	16040535.89594531172401770126090908246836615	132.4503030099983210647726987319685222179762	5123000.65605234406241161351340502714045956	-0.673394055709195183237505649025186594325066	-0.672160348874506144585967412572260634932653	3639836866983.7034380098197867716959461234
inverse	inverse-equatorial	equatorial	0.0000000000000000000000000000000000000000	10.0000000000000000000000000000000000000000	90.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	150.0000000000000000000000000000000000000000	90.0000000000000000000000000000000000000000	17104226.66954442985385216953118840459174014	141.4141414141414141414141414141414141414141	4322148.74319143904433834853605833538819065	-0.781674430980260328809830733213772871398719	-0.781674430980260328809830733213772871398719	-0.0000000000000000000000000000
inverse	inverse-meridional	meridional	-60.0000000000000000000000000000000000000000	20.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	70.0000000000000000000000000000000000000000	20.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	15723665.31065294548740791124932083172430604	129.5642438241620506722813874377973680078685	5368905.34795388862233559159121042049677940	-0.633547414229895560995223321957829719180384	-0.628744646420475312737536777298651237679120	-0.0000000000000000000000000000
inverse	inverse-polar	polar	89.9990000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	59.9991270999065665213431981618618973940903	45.0000000000000000000000000000000000000000	120.0000000000000000000000000000000000000000	179.9987690648343064696432580040216059939304	5522893.63618201645996942733926740576337561	45.2884211237782957426565903604118461920867	4974601.51984425236731443266860018366656584	0.709132648854899040267725344104684512639034	0.707100596985548997888060810811352672394728	101941567868205.8994666991715544832513464121
inverse	inverse-dateline	dateline	10.0000000000000000000000000000000000000000	179.9000000000000000000000000000000000000000	8.5095493668934491730002210461707929608835	12.0000000000000000000000000000000000000000	-179.8000000000000000000000000000000000000000	8.5668010252095049451329296755435254399314	242431.04302838886036872652214578360741747	2.0036406456140242044841168345275841571904	242381.66998390257038247495263534205171821	0.999388998489044060492575217802944043063595	0.999389104537682183276438900151879416163211	48011306410.8417386013605251436436997099
inverse	inverse-very-short	very-short	46.5000000000000000000000000000000000000000	7.0000000000000000000000000000000000000000	34.7984132606664918927695586419580703351230	46.5000000010000000000000000000000000000000	7.0000000010000000000000000000000000000000	34.7984132613918662637878533068348756994128	0.00014814002028149689458584769988787	0.0000000012183613607752586989758022923780	0.00014814002028149689458583665257234	0.999999999999999999999776279586406783337657	0.999999999999999999999776279586406835615849	612.2880139862745700075669945483
inverse	inverse-near-meridional	near-meridional	-70.0000000000000000000000000000000000000000	20.0000000000000000000000000000000000000000	0.0000006012932427495756676387640261844861	65.0000000000000000000000000000000000000000	20.0000010000000000000000000000000000000000	0.0000004869234084859103651499898837261564	16336709.13443898389895034773616232472779438	134.5929430461260588366939365403630640583287	4960651.71840518463693979240820229917727703	-0.694974552750681037423685862536635330986871	-0.697470632852934329047976096898912794874017	-96968.8721262113879799934204727266
inverse	inverse-near-equatorial	near-equatorial	0.0000010000000000000000000000000000000000	-100.0000000000000000000000000000000000000000	180.0000000000000000000000000000000000000000	-0.0000020000000000000000000000000000000000	80.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	21881330.84808448985516519066287741304890869	179.9999990099999999999999859970418298247959	219360.44715400224247139807225144261645126	-1.000000000546936988093038063187233322124756	-0.999999998906125575980623850929143586389633	-152912818578047.7399645938367459166018860702
inverse	inverse-near-antipodal-a	near-antipodal	-10.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	0.0323916989597441326778404833692051829171	10.0001000000000000000000000000000000000000	179.9990000000000000000000000000000000000000	179.9676082912642091958860981575902308206149	21881318.94883957502701559661278354123108683	179.9999009405421287715399163950492515614687	212885.39392725419016375057225753269807082	-1.005360581153845016182702972177832900259825	-0.994639364164903502488121457442939852668516	152857073166236.8009151046656715899883432951
inverse	inverse-near-antipodal-b	near-antipodal	-35.0000000000000000000000000000000000000000	20.0000000000000000000000000000000000000000	179.9922349604520695922798663232421986452566	34.9999000000000000000000000000000000000000	-160.0002000000000000000000000000000000000000	0.0077650301859060162124975486686689012256	21881318.87372505745872119872232731976451981	179.9999003475863727107493788922119124407852	148175.26594851940144499534565963473019768	-0.985227884270322542913551410734153210377067	-1.014772061095688179295108545402568577090661	-152899506950816.9656085240383883312099151319
inverse	inverse-exact-antipodal	ambiguous-antipodal	0.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	180.0000000000000000000000000000000000000000	180.0000000000000000000000000000000000000000	21881330.96782629384674016248739541789858055	180.0000000000000000000000000000000000000000	219360.32741219841462453095291653695466347	-1.000000000000000000000000000000000000000000	-1.000000000000000000000000000000000000000000	152912818578047.7399645938367459166018860702
inverse	inverse-opposite-poles	ambiguous-opposite-poles	90.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	180.0000000000000000000000000000000000000000	-90.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	180.0000000000000000000000000000000000000000	21881330.96782629384674016248739541789858055	180.0000000000000000000000000000000000000000	0.00000000000000000000000000000000000	-1.000000000000000000000000000000000000000000	-1.000000000000000000000000000000000000000000	-0.0000000000000000000000000000
