# mode	source_test	category	lat1_deg	lon1_deg	azi1_deg	lat2_deg	lon2_deg	azi2_deg	s12	a12_deg	m12	M12	M21	S12
direct	GeodSolve5	point2-pole	0.0177774558999700000000000000000000000000	30.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	89.9999999999999988344779154679798071313551	-150.0000000000000000000000000000000000000000	180.0000000000000000000000000000000000000000	10000000.00000000000000000000000000000000000	89.9822821485399584449366026982337084670832	6378136.69504153542910557558666932100468148	0.000310275133104149036974861371196222504801	0.005570362290101915530885432569187730407770	127516405431022.1273237284345829565586335062
direct	GeodSolve73	backwards-from-pole-negative-distance	90.0000000000000000000000000000000000000000	10.0000000000000000000000000000000000000000	180.0000000000000000000000000000000000000000	81.0462328159506202654543318347667724283634	-170.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	-1000000.00000000000000000000000000000000000	-8.9833980358028835608914717674152502912184	-995935.03893822309336344089577732618160243	0.987815576002784359498830577051493729001437	0.987814248328376069160043359327636836094963	-127516405431022.1273237284345829565586335062
inverse	GeodSolve4	short-line	36.4933494287920000000000000000000000000000	0.0000000000000000000000000000000000000000	89.9999988750970780160446581989433788529628	36.4933494287920100000000000000000000000000	0.0000008000000000000000000000000000000000	89.9999993508806584720687543624067879669920	0.07167900926641627392370014940485808	0.0000006453043022496851772379441500851959	0.07167900926641627241189768861389681	0.999999999999999936726142997935440588940594	0.999999999999999936726142997935440636181238	336080.9328101584710585332455602601
inverse	GeodSolve6a	near-antipodal-compiler-roundoff	88.2024994518570000000000000000000000000000	0.0000000000000000000000000000000000000000	90.0000000001675677939239410703697626398355	-88.2024994518570000000000000000000000000000	179.9810220329928595920000000000000000000000	90.0000000001675677939239410703697626398355	20003898.21385330000000117358742588401426378	179.9999999999894471925514057904854357150253	0.00000117472925681976320997306838879	-0.999999999999999031762427561783247934864258	-0.999999999999999031762427561783247934864258	-0.0000000000000000000000000000
inverse	GeodSolve11	near-antipodal-beta-symmetry	48.5228767354590000000000000000000000000000	0.0000000000000000000000000000000000000000	89.9999285329865712214696134363069778386829	-48.5228767354589829300000000000000000000000	179.5997204562230796430000000000000000000000	90.0000714824468627773575135598077815439779	19989144.77385769999997096964938325439094017	179.9999999863107351780024862106371111713056	0.00152168040981912757551279653066193	-0.999999993464966819340276367048977380869397	-1.000000006533622232773000674631872655498899	101069652.8431494982361267691123007278
inverse	GeodSolve33a	signed-zero-equatorial-179	0.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	90.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	179.0000000000000000000000000000000000000000	90.0000000000000000000000000000000000000000	19926188.85199596950394069549802962213904188	179.6021720779547789831551357542072529231067	44137.16447585581271460772407490449866583	-0.999975894645794522627203104575468897594824	-0.999975894645794522627203104575468897594824	-0.0000000000000000000000000000
inverse	GeodSolve33b	signed-zero-near-antipodal-179.5	0.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	55.9664951401591706499592534314257948277596	0.0000000000000000000000000000000000000000	179.5000000000000000000000000000000000000000	124.0335048598408293500407465685742051722404	19980861.90889096143245400574268486699164004	180.0000000000000000000000000000000000000000	21062.74640531733271815289173245892141361	-1.000000000000000000000000000000000000000000	-1.000000000000000000000000000000000000000000	48052058516064.6000034328910794261289687438
inverse	GeodSolve33c	signed-zero-exact-antipodal-180	0.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	180.0000000000000000000000000000000000000000	180.0000000000000000000000000000000000000000	20003931.45862544562347923222249210952125430	180.0000000000000000000000000000000000000000	67125.61229850351524000094992916153084476	-1.000000000000000000000000000000000000000000	-1.000000000000000000000000000000000000000000	127516405431022.1273237284345829565586335062
inverse	GeodSolve59	tiny-antimeridian-offset	5.0000000000000000000000000000000000000000	0.0000000000000100000000000000000000000000	0.0000000000000368255969755549989757992352	10.0000000000000000000000000000000000000000	180.0000000000000000000000000000000000000000	179.9999999999999627514160126267236768599183	18345191.17433271330888781435948822848956247	165.0495341745928947282640342175168582178234	1705844.12624006870533284501655993897951233	-0.965245808008871138247671067676186621694415	-0.964332017055339794741420924693722701102441	127516405431022.0746177199921653550333404717
inverse	GeodSolve78	ngs-nonconvergence	27.2000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	45.8246871675812076816492784539043424905873	-27.1000000000000000000000000000000000000000	179.5000000000000000000000000000000000000000	134.2277653266965006172464275688690610672790	19974354.76576708784085500603289244382766698	179.8568473264521356578845360232844354177544	41789.35372987587042907617282368100047240	-0.997004642625269750118603813752775228198542	-1.002973500204723102199952820192903693149928	62483151494163.2387412902143062012862002054
inverse	GeodSolve99	directed-rounding-45deg	45.0000000000000000000000000000000000000000	0.0000000000000000000000000000000000000000	90.0000002832934224650735401029811294742447	-45.0000000000000000000000000000000000000000	179.5727190000000000000000000000000000000000	90.0000002832934224650735401029811294742447	19987083.00656413395711791792204661069252616	179.9999994315071060321242742665875387506197	0.06317798204830973126704430235854234	-0.999999999973905116079982702209040906989289	-0.999999999973905116079982702209040906989289	-0.0000000000000000000000000000
